match_id,season,tournament,round,side1,side2,time_mmss
7,1,Mens World Championship,Round 1,Wade Barrett,Randy Orton,01:30
12,1,Mens World Championship,Round 1,Dominik Mysterio,Roman Reigns,01:03
82,1,Mens World Championship,Round 2,AJ Styles,Gunther,07:00
87,1,Mens World Championship,Round 2,Tyler Breeze,Roman Reigns,01:21
136,1,Mens World Championship,Semi Final,AJ Styles,CM Punk,13:00
151,1,Mens Underground Championship,Round 1,Gunther,Jacob Fatu,03:00
154,1,Mens Underground Championship,Final,Jacob Fatu,Chad Gable,10:00
161,1,Womens Underground Championship,Final,Bianca Belair,Charlotte Flair,03:00
